Date,Rep,Trial,Clam,Sediment,Density,Sex,CW,Cheliped,eaten,alive,proportion_eaten
"June 29, 2022",2,6,VC,1,16,M,70,20,3,13,0.1875
"June 28, 2022",2,1,VC,0,1,M,68,21,1,0,1
"June 29, 2022",2,2,VC,0,2,M,66,15,2,0,1
"June 29, 2022",2,3,VC,0,4,M,73,19,3,1,0.75
"June 28, 2022",2,4,VC,0,6,M,58,12,4,2,0.666666667
"June 28, 2022",2,5,VC,0,10,M,63,15,7,3,0.7
"June 29, 2022",2,6,VC,0,16,M,63,16,11,5,0.6875
"June 28, 2022",2,1,JLN,1,1,M,65,16,0,1,0
"June 29, 2022",2,2,JLN,1,2,M,68,15,0,2,0
"June 29, 2022",2,3,JLN,1,4,M,75,21,3,1,0.75
"June 29, 2022",2,4,JLN,1,6,M,73,17,0,6,0
"June 29, 2022",2,5,JLN,1,10,M,68,20,1,9,0.1
"June 28, 2022",2,6,JLN,1,16,M,76,24,2,14,0.125
"July 9, 2022",2,1,JLN,0,1,M,67,14,0,1,0
"June 29, 2022",2,2,JLN,0,2,M,62,12,0,2,0
"June 29, 2022",2,3,JLN,0,4,M,61,11,0,4,0
"June 28, 2022",2,4,JLN,0,6,M,55,13,0,6,0
"June 28, 2022",2,5,JLN,0,10,M,60,12,0,10,0
"June 28, 2022",2,6,JLN,0,16,M,70,19,0,16,0
"June 30, 2022",3,1,VC,1,1,M,68,17,0,1,0
"July 1, 2022",3,2,VC,1,2,M,62,12,0,2,0
"June 30, 2022",3,3,VC,1,4,M,62,15,0,4,0
"July 1, 2022",3,4,VC,1,6,M,66,21,0,6,0
"July 1, 2022",3,5,VC,1,10,M,64,21,0,10,0
"June 30, 2022",3,6,VC,1,16,M,75,22,6,10,0.375
"July 1, 2022",3,1,VC,0,1,M,56,14,1,0,1
"July 1, 2022",3,2,VC,0,2,M,72,23,2,0,1
"June 30, 2022",3,3,VC,0,4,M,63,15,2,2,0.5
"June 30, 2022",3,4,VC,0,6,M,69,19,3,3,0.5
"July 1, 2022",3,5,VC,0,10,M,71,21,5,5,0.5
"June 30, 2022",3,6,VC,0,16,M,68,20,5,11,0.3125
"June 30, 2022",3,1,JLN,1,1,M,75,22,0,1,0
"July 1, 2022",3,2,JLN,1,2,M,56,14,0,2,0
"July 1, 2022",3,3,JLN,1,4,M,64,18,0,4,0
"June 30, 2022",3,4,JLN,1,6,M,65,15,1,5,0.166666667
"July 9, 2022",3,5,JLN,1,10,M,63,13,0,10,0
"June 30, 2022",3,6,JLN,1,16,M,64,16,1,15,0.0625
"June 30, 2022",3,1,JLN,0,1,M,75,22,1,0,1
"July 3, 2022",3,2,JLN,0,2,M,65,19,1,1,0.5
"June 30, 2022",3,3,JLN,0,4,M,67,17,0,4,0
"June 30, 2022",3,4,JLN,0,6,M,64,15,0,6,0
"July 1, 2022",3,5,JLN,0,10,M,70,20,1,9,0.1
"July 1, 2022",3,6,JLN,0,16,M,60,14,3,13,0.1875
"July 3, 2022",4,1,VC,1,1,M,66,18,0,1,0
"July 4, 2022",4,2,VC,1,2,M,65,20,0,2,0
"July 4, 2022",4,3,VC,1,4,M,65,17,0,4,0
"July 3, 2022",4,4,VC,1,6,M,72,20,1,5,0.166666667
"July 3, 2022",4,5,VC,1,10,M,63,16,3,7,0.3
"July 4, 2022",4,6,VC,1,16,M,73,22,3,13,0.1875
"July 3, 2022",4,1,VC,0,1,M,75,25,1,0,1
"July 4, 2022",4,2,VC,0,2,M,70,16,2,0,1
"July 4, 2022",4,3,VC,0,4,M,67,16,4,0,1
"July 4, 2022",4,4,VC,0,6,M,70,16,4,2,0.666666667
"July 4, 2022",4,5,VC,0,10,M,74,23,5,5,0.5
"July 3, 2022",4,6,VC,0,16,M,67,17,7,9,0.4375
"July 3, 2022",4,1,JLN,1,1,M,75,22,0,1,0
"July 4, 2022",4,2,JLN,1,2,M,75,21,0,2,0
"July 4, 2022",4,3,JLN,1,4,M,67,19,0,4,0
"July 4, 2022",4,4,JLN,1,6,M,75,25,0,6,0
"July 3, 2022",4,5,JLN,1,10,M,67,17,0,10,0
"July 3, 2022",4,6,JLN,1,16,M,72,20,1,15,0.0625
"July 4, 2022",4,1,JLN,0,1,M,70,17,0,1,0
"July 3, 2022",4,2,JLN,0,2,M,66,14,0,2,0
"July 4, 2022",4,3,JLN,0,4,M,68,18,0,4,0
"July 3, 2022",4,4,JLN,0,6,M,73,16,1,5,0.166666667
"July 3, 2022",4,5,JLN,0,10,M,64,15,0,10,0
"July 3, 2022",4,6,JLN,0,16,M,75,23,6,10,0.375
"July 5, 2022",5,1,VC,1,1,M,70,20,0,1,0
"July 5, 2022",5,2,VC,1,2,M,74,18,0,2,0
"July 6, 2022",5,3,VC,1,4,M,66,18,0,4,0
"July 5, 2022",5,4,VC,1,6,M,72,20,0,6,0
"July 6, 2022",5,5,VC,1,10,M,75,22,0,10,0
"July 6, 2022",5,6,VC,1,16,M,65,17,0,16,0
"July 6, 2022",5,1,VC,0,1,M,74,16,1,0,1
"July 5, 2022",5,2,VC,0,2,M,57,13,2,0,1
"July 5, 2022",5,3,VC,0,4,M,71,15,4,0,1
"July 6, 2022",5,4,VC,0,6,M,60,15,4,2,0.666666667
"July 6, 2022",5,5,VC,0,10,M,66,16,5,5,0.5
"July 6, 2022",5,6,VC,0,16,M,66,16,7,9,0.4375
"July 5, 2022",5,1,JLN,1,1,M,68,13,0,1,0
"July 6, 2022",5,2,JLN,1,2,M,65,22,0,2,0
"July 5, 2022",5,3,JLN,1,4,M,75,22,0,4,0
"July 5, 2022",5,4,JLN,1,6,M,67,11,0,6,0
"July 6, 2022",5,5,JLN,1,10,M,75,25,2,8,0.2
"July 6, 2022",5,6,JLN,1,16,M,63,14,0,16,0
"July 6, 2022",5,1,JLN,0,1,M,75,26,1,0,1
"July 5, 2022",5,2,JLN,0,2,M,60,14,0,2,0
"July 5, 2022",5,3,JLN,0,4,M,75,24,0,4,0
"July 5, 2022",5,4,JLN,0,6,M,75,23,0,6,0
"July 5, 2022",5,5,JLN,0,10,M,70,18,0,10,0
"July 6, 2022",5,6,JLN,0,16,M,75,22,3,13,0.1875
"July 7, 2022",6,1,VC,1,1,M,55,14,0,1,0
"July 8, 2022",6,2,VC,1,2,M,57,13,0,2,0
"July 7, 2022",6,3,VC,1,4,M,72,22,0,4,0
"July 7, 2022",6,4,VC,1,6,M,60,15,0,6,0
"July 7, 2022",6,5,VC,1,10,M,70,21,0,10,0
"July 8, 2022",6,6,VC,1,16,M,66,16,3,13,0.1875
"July 8, 2022",6,1,VC,0,1,M,65,15,1,0,1
"July 8, 2022",6,2,VC,0,2,M,62,15,2,0,1
"July 8, 2022",6,3,VC,0,4,M,65,17,4,0,1
"July 7, 2022",6,4,VC,0,6,M,65,17,5,1,0.833333333
"July 7, 2022",6,5,VC,0,10,M,69,18,4,6,0.4
"July 8, 2022",6,6,VC,0,16,M,75,22,11,5,0.6875
"July 7, 2022",6,1,JLN,1,1,M,75,23,0,1,0
"July 8, 2022",6,2,JLN,1,2,M,60,14,0,2,0
"July 8, 2022",6,3,JLN,1,4,M,64,18,0,4,0
"July 7, 2022",6,4,JLN,1,6,M,70,25,0,6,0
"July 8, 2022",6,5,JLN,1,10,M,66,16,0,10,0
"July 8, 2022",6,6,JLN,1,16,M,60,15,0,16,0
"July 8, 2022",6,1,JLN,0,1,M,65,13,0,1,0
"July 8, 2022",6,2,JLN,0,2,M,65,15,0,2,0
"July 7, 2022",6,3,JLN,0,4,M,60,14,0,4,0
"July 7, 2022",6,4,JLN,0,6,M,75,25,1,5,0.166666667
"July 7, 2022",6,5,JLN,0,10,M,60,14,0,10,0
"July 7, 2022",6,6,JLN,0,16,M,75,18,1,15,0.0625
"August 7, 2022",7,1,VC,1,1,M,74,18,1,0,1
"August 7, 2022",7,2,VC,1,2,M,65,19,0,2,0
"August 7, 2022",7,3,VC,1,4,M,75,21,0,4,0
"August 7, 2022",7,4,VC,1,6,M,66,18,0,6,0
"August 7, 2022",7,5,VC,1,10,M,65,18,0,10,0
"August 7, 2022",7,6,VC,1,16,M,75,19,1,15,0.0625
"August 8, 2022",8,1,VC,1,1,M,65,20,1,0,1
"August 8, 2022",8,2,VC,1,2,M,65,18,0,2,0
"August 8, 2022",8,3,VC,1,4,M,75,23,0,4,0
"August 8, 2022",8,4,VC,1,6,M,70,17,0,6,0
"August 8, 2022",8,5,VC,1,10,M,66,16,0,10,0
"August 8, 2022",8,6,VC,1,16,M,68,17,0,16,0
"August 9, 2022",9,1,VC,1,1,M,71,19,0,1,0
"August 9, 2022",9,2,VC,1,2,M,75,26,2,0,1
"August 9, 2022",9,3,VC,1,4,M,72,19,0,4,0
"August 9, 2022",9,4,VC,1,6,M,65,16,0,6,0
"August 9, 2022",9,5,VC,1,10,M,69,16,1,9,0.1
"August 9, 2022",9,6,VC,1,16,M,69,18,1,15,0.0625
"August 10, 2022",10,1,VC,1,1,M,68,16,0,1,0
"August 10, 2022",10,2,VC,1,2,M,67,18,0,2,0
"August 10, 2022",10,3,VC,1,4,M,74,23,0,4,0
"August 10, 2022",10,4,VC,1,6,M,70,18,0,6,0
"August 10, 2022",10,5,VC,1,10,M,74,19,1,9,0.1
"August 10, 2022",10,6,VC,1,16,M,62,16,1,15,0.0625
"August 11, 2022",11,1,VC,1,1,M,68,16,0,1,0
"August 11, 2022",11,2,VC,1,2,M,70,19,0,2,0
"August 11, 2022",11,3,VC,1,4,M,71,17,0,4,0
"August 11, 2022",11,4,VC,1,6,M,68,17,2,4,0.333333333
"August 11, 2022",11,5,VC,1,10,M,59,14,0,10,0
"August 11, 2022",11,6,VC,1,16,M,67,17,1,15,0.0625
"August 12, 2022",12,1,VC,1,1,M,64,17,0,1,0
"August 12, 2022",12,2,VC,1,2,M,67,17,0,2,0
"August 12, 2022",12,3,VC,1,4,M,65,19,0,4,0
"August 12, 2022",12,4,VC,1,6,M,64,17,2,4,0.333333333
"August 12, 2022",12,5,VC,1,10,M,66,19,1,9,0.1
"August 12, 2022",12,6,VC,1,16,M,66,15,1,15,0.0625
