Date,Species,Rep,Trial ,Sed (1=yes),Clam_Number,Length (siphon to foot),Width (hinge up),Did not bury,Consumed (1= consumed)
25-Jun-22,VC,1,3,0,3,34,27,,0
25-Jun-22,VC,1,3,0,4,26,21,,1
27-Jun-22,VC,1,4,0,1,36,30,,1
27-Jun-22,VC,1,4,0,2,40,32,,1
27-Jun-22,VC,1,4,0,3,31,26,,1
27-Jun-22,VC,1,4,0,4,30,24,,1
27-Jun-22,VC,1,4,0,5,35,28,,0
27-Jun-22,VC,1,4,0,6,40,32,,1
27-Jun-22,VC,1,5,0,1,37,31,,1
27-Jun-22,VC,1,5,0,2,34,27,,0
27-Jun-22,VC,1,5,0,3,31,25,,0
27-Jun-22,VC,1,5,0,4,39,31,,1
27-Jun-22,VC,1,5,0,5,27,21,,1
27-Jun-22,VC,1,5,0,6,31,25,,1
27-Jun-22,VC,1,5,0,7,33,26,,1
27-Jun-22,VC,1,5,0,8,31,26,,1
27-Jun-22,VC,1,5,0,9,30,26,,1
27-Jun-22,VC,1,5,0,10,29,23,,0
27-Jun-22,VC,1,6,0,1,40,34,,0
27-Jun-22,VC,1,6,0,2,40,33,,0
27-Jun-22,VC,1,6,0,3,33,28,,0
27-Jun-22,VC,1,6,0,4,34,30,,1
27-Jun-22,VC,1,6,0,5,31,26,,0
27-Jun-22,VC,1,6,0,6,32,25,,1
27-Jun-22,VC,1,6,0,7,26,22,,0
27-Jun-22,VC,1,6,0,8,29,22,,0
27-Jun-22,VC,1,6,0,9,35,29,,0
27-Jun-22,VC,1,6,0,10,36,31,,0
27-Jun-22,VC,1,6,0,11,33,27,,0
27-Jun-22,VC,1,6,0,12,33,27,,0
27-Jun-22,VC,1,6,0,13,34,28,,0
27-Jun-22,VC,1,6,0,14,28,23,,0
27-Jun-22,VC,1,6,0,15,33,26,,0
27-Jun-22,VC,1,6,0,16,31,26,,1
27-Jun-22,JLN,1,1,1,1,32,25,,0
27-Jun-22,JLN,1,2,1,1,30,25,,0
27-Jun-22,JLN,1,2,1,2,25,22,,1
25-Jun-22,JLN,1,3,1,1,35,30,,0
25-Jun-22,JLN,1,3,1,2,29,26,,0
25-Jun-22,JLN,1,3,1,3,31,25,,0
25-Jun-22,JLN,1,3,1,4,33,28,,0
25-Jun-22,JLN,1,4,1,1,32,28,,0
25-Jun-22,JLN,1,4,1,2,30,27,,0
25-Jun-22,JLN,1,4,1,3,35,29,,0
25-Jun-22,JLN,1,4,1,4,25,21,1,NA
25-Jun-22,JLN,1,4,1,5,29,24,1,NA
25-Jun-22,JLN,1,4,1,6,31,29,,0
27-Jun-22,JLN,1,5,1,1,30,26,,0
27-Jun-22,JLN,1,5,1,2,28,26,,0
27-Jun-22,JLN,1,5,1,3,26,21,,1
27-Jun-22,JLN,1,5,1,4,29,26,,0
27-Jun-22,JLN,1,5,1,5,27,24,,0
27-Jun-22,JLN,1,5,1,6,26,22,,0
27-Jun-22,JLN,1,5,1,7,30,25,,0
27-Jun-22,JLN,1,5,1,8,24,20,,0
27-Jun-22,JLN,1,5,1,9,25,22,,0
27-Jun-22,JLN,1,5,1,10,30,24,,1
27-Jun-22,JLN,1,6,1,1,29,25,,0
27-Jun-22,JLN,1,6,1,2,26,22,,0
27-Jun-22,JLN,1,6,1,3,28,24,,0
27-Jun-22,JLN,1,6,1,4,28,24,,0
27-Jun-22,JLN,1,6,1,5,30,26,,1
27-Jun-22,JLN,1,6,1,6,27,24,,0
27-Jun-22,JLN,1,6,1,7,27,24,,0
27-Jun-22,JLN,1,6,1,8,30,26,,1
27-Jun-22,JLN,1,6,1,9,30,26,,0
27-Jun-22,JLN,1,6,1,10,26,22,,0
27-Jun-22,JLN,1,6,1,11,29,25,,0
27-Jun-22,JLN,1,6,1,12,25,22,,0
27-Jun-22,JLN,1,6,1,13,26,24,,0
27-Jun-22,JLN,1,6,1,14,25,20,,1
27-Jun-22,JLN,1,6,1,15,28,24,,0
27-Jun-22,JLN,1,6,1,16,30,25,,0
25-Jun-22,JLN,1,1,0,1,33,28,,0
25-Jun-22,JLN,1,2,0,1,35,29,,0
25-Jun-22,JLN,1,2,0,2,28,23,,0
27-Jun-22,JLN,1,3,0,1,30,24,,0
27-Jun-22,JLN,1,3,0,2,27,23,,0
27-Jun-22,JLN,1,3,0,3,29,26,,0
27-Jun-22,JLN,1,3,0,4,30,26,,0
25-Jun-22,JLN,1,4,0,1,32,26,,0
25-Jun-22,JLN,1,4,0,2,35,28,,0
25-Jun-22,JLN,1,4,0,3,28,24,,0
25-Jun-22,JLN,1,4,0,4,30,26,,0
25-Jun-22,JLN,1,4,0,5,35,31,,0
25-Jun-22,JLN,1,4,0,6,33,30,,0
25-Jun-22,JLN,1,5,0,1,32,25,,0
25-Jun-22,JLN,1,5,0,2,33,28,,0
25-Jun-22,JLN,1,5,0,3,35,34,,0
25-Jun-22,JLN,1,5,0,4,28,23,,0
25-Jun-22,JLN,1,5,0,5,34,30,,0
25-Jun-22,JLN,1,5,0,6,34,31,,0
25-Jun-22,JLN,1,5,0,7,35,32,,0
25-Jun-22,JLN,1,5,0,8,26,22,,0
25-Jun-22,JLN,1,5,0,9,27,22,,0
25-Jun-22,JLN,1,5,0,10,32,26,,0
26-Jun-22,JLN,1,6,0,1,27,22,,0
27-Jun-22,JLN,1,6,0,2,30,26,,0
27-Jun-22,JLN,1,6,0,3,25,21,,0
27-Jun-22,JLN,1,6,0,4,25,22,,0
27-Jun-22,JLN,1,6,0,5,29,26,,0
27-Jun-22,JLN,1,6,0,6,26,22,,0
27-Jun-22,JLN,1,6,0,7,28,25,,0
27-Jun-22,JLN,1,6,0,8,25,22,,0
27-Jun-22,JLN,1,6,0,9,30,25,,0
27-Jun-22,JLN,1,6,0,10,28,25,,0
27-Jun-22,JLN,1,6,0,11,26,24,,0
27-Jun-22,JLN,1,6,0,12,29,26,,0
27-Jun-22,JLN,1,6,0,13,25,21,,0
27-Jun-22,JLN,1,6,0,14,29,25,,0
27-Jun-22,JLN,1,6,0,15,25,21,,0
27-Jun-22,JLN,1,6,0,16,29,25,,0
29-Jun-22,VC,2,1,1,1,35,29,,0
28-Jun-22,VC,2,2,1,1,33,24,,0
28-Jun-22,VC,2,2,1,2,34,30,,1
28-Jun-22,VC,2,3,1,1,35,31,,0
28-Jun-22,VC,2,3,1,2,33,28,,0
28-Jun-22,VC,2,3,1,3,33,27,,0
28-Jun-22,VC,2,3,1,4,35,29,,1
28-Jun-22,VC,2,4,1,1,35,30,,0
28-Jun-22,VC,2,4,1,2,31,24,,0
28-Jun-22,VC,2,4,1,3,35,26,,1
28-Jun-22,VC,2,4,1,4,33,26,,0
28-Jun-22,VC,2,4,1,5,35,30,,0
28-Jun-22,VC,2,4,1,6,31,25,,0
28-Jun-22,VC,2,5,1,1,35,28,,1
28-Jun-22,VC,2,5,1,2,35,32,,0
28-Jun-22,VC,2,5,1,3,28,22,,1
28-Jun-22,VC,2,5,1,4,31,24,,1
28-Jun-22,VC,2,5,1,5,28,21,,0
28-Jun-22,VC,2,5,1,6,32,25,,1
28-Jun-22,VC,2,5,1,7,35,30,,1
28-Jun-22,VC,2,5,1,8,31,25,,0
28-Jun-22,VC,2,5,1,9,32,26,,0
28-Jun-22,VC,2,5,1,10,32,27,,0
29-Jun-22,VC,2,6,1,1,25,28,,1
29-Jun-22,VC,2,6,1,2,30,25,,0
29-Jun-22,VC,2,6,1,3,25,25,,1
29-Jun-22,VC,2,6,1,4,35,28,,0
29-Jun-22,VC,2,6,1,5,35,30,,0
29-Jun-22,VC,2,6,1,6,30,25,,0
29-Jun-22,VC,2,6,1,7,30,25,,0
29-Jun-22,VC,2,6,1,8,25,21,,0
29-Jun-22,VC,2,6,1,9,33,30,,0
29-Jun-22,VC,2,6,1,10,30,25,,0
29-Jun-22,VC,2,6,1,11,28,23,,0
29-Jun-22,VC,2,6,1,12,25,19,,1
29-Jun-22,VC,2,6,1,13,28,25,,0
29-Jun-22,VC,2,6,1,14,28,23,,0
29-Jun-22,VC,2,6,1,15,27,23,,0
29-Jun-22,VC,2,6,1,16,27,22,,0
28-Jun-22,VC,2,1,0,1,31,24,,1
29-Jun-22,VC,2,2,0,1,30,25,,1
29-Jun-22,VC,2,2,0,2,37,30,,1
29-Jun-22,VC,2,3,0,1,36,31,0,1
29-Jun-22,VC,2,3,0,2,30,24,0,1
29-Jun-22,VC,2,3,0,3,33,26,0,1
29-Jun-22,VC,2,3,0,4,29,23,,0
28-Jun-22,VC,2,4,0,1,38,30,,1
28-Jun-22,VC,2,4,0,2,33,26,,1
28-Jun-22,VC,2,4,0,3,28,21,,1
28-Jun-22,VC,2,4,0,4,31,25,,0
28-Jun-22,VC,2,4,0,5,32,27,,0
28-Jun-22,VC,2,4,0,6,35,29,,1
28-Jun-22,VC,2,5,0,1,39,30,,0
28-Jun-22,VC,2,5,0,2,28,23,,1
28-Jun-22,VC,2,5,0,3,35,28,,0
28-Jun-22,VC,2,5,0,4,33,28,,0
28-Jun-22,VC,2,5,0,5,35,30,,1
28-Jun-22,VC,2,5,0,6,27,21,,1
28-Jun-22,VC,2,5,0,7,30,24,,1
28-Jun-22,VC,2,5,0,8,30,25,,1
28-Jun-22,VC,2,5,0,9,35,26,,1
28-Jun-22,VC,2,5,0,10,25,20,,1
29-Jun-22,VC,2,6,0,1,38,31,,0
29-Jun-22,VC,2,6,0,2,35,28,,0
29-Jun-22,VC,2,6,0,3,31,25,,1
29-Jun-22,VC,2,6,0,4,36,30,,0
29-Jun-22,VC,2,6,0,5,25,19,,1
29-Jun-22,VC,2,6,0,6,28,22,,0
29-Jun-22,VC,2,6,0,7,31,25,,1
29-Jun-22,VC,2,6,0,8,37,30,,0
29-Jun-22,VC,2,6,0,9,31,25,,0
29-Jun-22,VC,2,6,0,10,38,30,,0
29-Jun-22,VC,2,6,0,11,32,25,,1
29-Jun-22,VC,2,6,0,12,29,23,,0
29-Jun-22,VC,2,6,0,13,31,25,,0
29-Jun-22,VC,2,6,0,14,31,26,,0
29-Jun-22,VC,2,6,0,15,30,24,,0
29-Jun-22,VC,2,6,0,16,35,29,,1
28-Jun-22,JLN,2,1,1,1,23,20,,0
29-Jun-22,JLN,2,2,1,1,23,20,,0
29-Jun-22,JLN,2,2,1,2,26,24,,0
29-Jun-22,JLN,2,3,1,1,27,21,,0
29-Jun-22,JLN,2,3,1,2,29,25,,0
29-Jun-22,JLN,2,3,1,3,25,20,,0
29-Jun-22,JLN,2,3,1,4,24,21,,0
29-Jun-22,JLN,2,4,1,1,29,25,,0
29-Jun-22,JLN,2,4,1,2,29,25,,0
29-Jun-22,JLN,2,4,1,3,26,22,,0
29-Jun-22,JLN,2,4,1,4,30,25,,0
29-Jun-22,JLN,2,4,1,5,26,22,,0
29-Jun-22,JLN,2,4,1,6,28,25,,0
29-Jun-22,JLN,2,5,1,1,22,19,,0
29-Jun-22,JLN,2,5,1,2,28,24,,0
29-Jun-22,JLN,2,5,1,3,28,24,,0
29-Jun-22,JLN,2,5,1,4,30,27,,0
29-Jun-22,JLN,2,5,1,5,28,24,,0
29-Jun-22,JLN,2,5,1,6,30,25,,0
29-Jun-22,JLN,2,5,1,7,26,23,,0
29-Jun-22,JLN,2,5,1,8,27,22,,0
29-Jun-22,JLN,2,5,1,9,26,20,,0
29-Jun-22,JLN,2,5,1,10,28,25,,1
28-Jun-22,JLN,2,6,1,1,25,21,,0
28-Jun-22,JLN,2,6,1,2,25,23,,0
28-Jun-22,JLN,2,6,1,3,24,21,,0
28-Jun-22,JLN,2,6,1,4,26,23,,1
28-Jun-22,JLN,2,6,1,5,26,20,,0
28-Jun-22,JLN,2,6,1,6,21,19,,0
28-Jun-22,JLN,2,6,1,7,26,21,,0
28-Jun-22,JLN,2,6,1,8,27,24,,1
28-Jun-22,JLN,2,6,1,9,28,24,,0
28-Jun-22,JLN,2,6,1,10,23,20,,0
28-Jun-22,JLN,2,6,1,11,30,25,,0
28-Jun-22,JLN,2,6,1,12,28,25,,0
28-Jun-22,JLN,2,6,1,13,28,24,,0
28-Jun-22,JLN,2,6,1,14,27,23,,0
28-Jun-22,JLN,2,6,1,15,29,25,,0
28-Jun-22,JLN,2,6,1,16,26,23,,0
09-Jul-22,JLN,2,1,0,1,26,23,,0
29-Jun-22,JLN,2,2,0,1,30,25,,0
29-Jun-22,JLN,2,2,0,2,22,18,,0
29-Jun-22,JLN,2,3,0,1,23,19,,0
29-Jun-22,JLN,2,3,0,2,28,24,,0
29-Jun-22,JLN,2,3,0,3,27,23,,0
29-Jun-22,JLN,2,3,0,4,26,21,,0
28-Jun-22,JLN,2,4,0,1,25,20,,0
28-Jun-22,JLN,2,4,0,2,25,21,,0
28-Jun-22,JLN,2,4,0,3,28,24,,0
28-Jun-22,JLN,2,4,0,4,29,25,,0
28-Jun-22,JLN,2,4,0,5,28,23,,0
28-Jun-22,JLN,2,4,0,6,25,20,,0
28-Jun-22,JLN,2,5,0,1,25,23,,0
28-Jun-22,JLN,2,5,0,2,28,25,,0
28-Jun-22,JLN,2,5,0,3,25,22,,0
28-Jun-22,JLN,2,5,0,4,28,26,,0
28-Jun-22,JLN,2,5,0,5,28,24,,0
28-Jun-22,JLN,2,5,0,6,25,22,,0
28-Jun-22,JLN,2,5,0,7,30,27,,0
28-Jun-22,JLN,2,5,0,8,27,25,,0
28-Jun-22,JLN,2,5,0,9,30,26,,0
28-Jun-22,JLN,2,5,0,10,24,20,,0
28-Jun-22,JLN,2,6,0,1,28,24,,0
28-Jun-22,JLN,2,6,0,2,30,25,,0
28-Jun-22,JLN,2,6,0,3,23,21,,0
28-Jun-22,JLN,2,6,0,4,25,21,,0
28-Jun-22,JLN,2,6,0,5,26,21,,0
28-Jun-22,JLN,2,6,0,6,27,23,,0
28-Jun-22,JLN,2,6,0,7,30,25,,0
28-Jun-22,JLN,2,6,0,8,25,21,,0
28-Jun-22,JLN,2,6,0,9,25,23,,0
28-Jun-22,JLN,2,6,0,10,29,23,,0
28-Jun-22,JLN,2,6,0,11,29,25,,0
28-Jun-22,JLN,2,6,0,12,27,23,,0
28-Jun-22,JLN,2,6,0,13,28,23,,0
28-Jun-22,JLN,2,6,0,14,28,24,,0
28-Jun-22,JLN,2,6,0,15,23,20,,0
28-Jun-22,JLN,2,6,0,16,26,21,,0
30-Jun-22,VC,3,1,1,1,28,24,,0
01-Jul-22,VC,3,2,1,1,30,27,,0
01-Jul-22,VC,3,2,1,2,28,24,,0
30-Jun-22,VC,3,3,1,1,26,23,,0
30-Jun-22,VC,3,3,1,2,32,30,,0
30-Jun-22,VC,3,3,1,3,28,22,,0
30-Jun-22,VC,3,3,1,4,25,20,,0
01-Jul-22,VC,3,4,1,1,33,28,,0
01-Jul-22,VC,3,4,1,2,31,27,,0
01-Jul-22,VC,3,4,1,3,27,20,,0
01-Jul-22,VC,3,4,1,4,34,27,,0
01-Jul-22,VC,3,4,1,5,29,24,,0
01-Jul-22,VC,3,4,1,6,32,27,,0
01-Jul-22,VC,3,5,1,1,29,25,,0
01-Jul-22,VC,3,5,1,2,30,25,,0
01-Jul-22,VC,3,5,1,3,32,26,,0
01-Jul-22,VC,3,5,1,4,30,26,,0
01-Jul-22,VC,3,5,1,5,30,25,,0
01-Jul-22,VC,3,5,1,6,32,27,,0
01-Jul-22,VC,3,5,1,7,32,25,,0
01-Jul-22,VC,3,5,1,8,27,25,,0
01-Jul-22,VC,3,5,1,9,29,24,,0
01-Jul-22,VC,3,5,1,10,30,23,,0
30-Jun-22,VC,3,6,1,1,30,25,,0
30-Jun-22,VC,3,6,1,2,35,30,,0
30-Jun-22,VC,3,6,1,3,31,26,,0
30-Jun-22,VC,3,6,1,4,35,29,,1
30-Jun-22,VC,3,6,1,5,29,24,,1
30-Jun-22,VC,3,6,1,6,33,28,,1
30-Jun-22,VC,3,6,1,7,28,24,,0
30-Jun-22,VC,3,6,1,8,32,25,,0
30-Jun-22,VC,3,6,1,9,31,26,,0
30-Jun-22,VC,3,6,1,10,25,20,,0
30-Jun-22,VC,3,6,1,11,33,28,,1
30-Jun-22,VC,3,6,1,12,27,22,,0
30-Jun-22,VC,3,6,1,13,28,23,,0
30-Jun-22,VC,3,6,1,14,35,29,,0
30-Jun-22,VC,3,6,1,15,33,28,,1
30-Jun-22,VC,3,6,1,16,27,21,,1
01-Jul-22,VC,3,1,0,1,25,20,,1
01-Jul-22,VC,3,2,0,1,30,25,,1
01-Jul-22,VC,3,2,0,2,27,24,,1
30-Jun-22,VC,3,3,0,1,32,28,,0
30-Jun-22,VC,3,3,0,2,37,32,,1
30-Jun-22,VC,3,3,0,3,30,25,,0
30-Jun-22,VC,3,3,0,4,25,20,,1
30-Jun-22,VC,3,4,0,1,34,30,,1
30-Jun-22,VC,3,4,0,2,35,32,,1
30-Jun-22,VC,3,4,0,3,25,20,,0
30-Jun-22,VC,3,4,0,4,33,29,,0
30-Jun-22,VC,3,4,0,5,35,29,,0
30-Jun-22,VC,3,4,0,6,29,25,,1
01-Jul-22,VC,3,5,0,1,29,23,,0
01-Jul-22,VC,3,5,0,2,31,26,,0
01-Jul-22,VC,3,5,0,3,35,28,,0
01-Jul-22,VC,3,5,0,4,30,24,,0
01-Jul-22,VC,3,5,0,5,35,28,,1
01-Jul-22,VC,3,5,0,6,27,24,,1
01-Jul-22,VC,3,5,0,7,34,29,,1
01-Jul-22,VC,3,5,0,8,27,22,,1
01-Jul-22,VC,3,5,0,9,26,23,,0
01-Jul-22,VC,3,5,0,10,27,23,,1
30-Jun-22,VC,3,6,0,1,30,25,,0
30-Jun-22,VC,3,6,0,2,25,20,,0
30-Jun-22,VC,3,6,0,3,35,28,,0
30-Jun-22,VC,3,6,0,4,26,24,,0
30-Jun-22,VC,3,6,0,5,29,24,,0
30-Jun-22,VC,3,6,0,6,29,23,,0
30-Jun-22,VC,3,6,0,7,27,23,,0
30-Jun-22,VC,3,6,0,8,32,26,,0
30-Jun-22,VC,3,6,0,9,31,25,,0
30-Jun-22,VC,3,6,0,10,34,29,,0
30-Jun-22,VC,3,6,0,11,25,21,,0
30-Jun-22,VC,3,6,0,12,29,26,,1
30-Jun-22,VC,3,6,0,13,29,25,,1
30-Jun-22,VC,3,6,0,14,29,24,,1
30-Jun-22,VC,3,6,0,15,31,25,,1
30-Jun-22,VC,3,6,0,16,27,22,,1
30-Jun-22,JLN,3,1,1,1,26,23,,0
01-Jul-22,JLN,3,2,1,1,27,19,,0
01-Jul-22,JLN,3,2,1,2,25,18,,0
01-Jul-22,JLN,3,3,1,1,25,18,,0
01-Jul-22,JLN,3,3,1,2,27,21,,0
01-Jul-22,JLN,3,3,1,3,25,18,,0
01-Jul-22,JLN,3,3,1,4,25,17,,0
30-Jun-22,JLN,3,4,1,1,25,20,,0
30-Jun-22,JLN,3,4,1,2,26,19,,1
30-Jun-22,JLN,3,4,1,3,25,19,,0
30-Jun-22,JLN,3,4,1,4,25,19,,0
30-Jun-22,JLN,3,4,1,5,25,17,,0
30-Jun-22,JLN,3,4,1,6,25,19,,0
09-Jul-22,JLN,3,5,1,1,27,24,,0
09-Jul-22,JLN,3,5,1,2,30,25,,0
09-Jul-22,JLN,3,5,1,3,28,24,,0
09-Jul-22,JLN,3,5,1,4,29,25,,0
09-Jul-22,JLN,3,5,1,5,27,23,,0
09-Jul-22,JLN,3,5,1,6,26,23,,0
09-Jul-22,JLN,3,5,1,7,30,25,,0
09-Jul-22,JLN,3,5,1,8,30,26,,0
09-Jul-22,JLN,3,5,1,9,30,26,,0
09-Jul-22,JLN,3,5,1,10,30,25,,0
30-Jun-22,JLN,3,6,1,1,28,22,,0
01-Jul-22,JLN,3,6,1,2,25,16,,0
01-Jul-22,JLN,3,6,1,3,27,22,,0
01-Jul-22,JLN,3,6,1,4,25,19,,0
01-Jul-22,JLN,3,6,1,5,27,20,,0
01-Jul-22,JLN,3,6,1,6,27,20,,0
01-Jul-22,JLN,3,6,1,7,26,21,,0
01-Jul-22,JLN,3,6,1,8,26,19,,1
01-Jul-22,JLN,3,6,1,9,26,20,,0
01-Jul-22,JLN,3,6,1,10,25,16,,0
01-Jul-22,JLN,3,6,1,11,25,17,,0
01-Jul-22,JLN,3,6,1,12,25,19,,0
01-Jul-22,JLN,3,6,1,13,26,21,,0
01-Jul-22,JLN,3,6,1,14,25,17,,0
01-Jul-22,JLN,3,6,1,15,25,18,,0
01-Jul-22,JLN,3,6,1,16,28,22,,0
30-Jun-22,JLN,3,1,0,1,27,21,,1
03-Jul-22,JLN,3,2,0,1,21,17,,1
03-Jul-22,JLN,3,2,0,2,27,20,,0
30-Jun-22,JLN,3,3,0,1,25,16,,0
30-Jun-22,JLN,3,3,0,2,27,21,,0
30-Jun-22,JLN,3,3,0,3,25,18,,0
30-Jun-22,JLN,3,3,0,4,27,21,,0
30-Jun-22,JLN,3,4,0,1,25,16,,0
30-Jun-22,JLN,3,4,0,2,27,21,,0
30-Jun-22,JLN,3,4,0,3,25,18,,0
30-Jun-22,JLN,3,4,0,4,26,19,,0
30-Jun-22,JLN,3,4,0,5,27,20,,0
30-Jun-22,JLN,3,4,0,6,27,21,,0
01-Jul-22,JLN,3,5,0,1,29,25,,0
01-Jul-22,JLN,3,5,0,2,23,17,,0
01-Jul-22,JLN,3,5,0,3,27,20,,0
01-Jul-22,JLN,3,5,0,4,25,20,,1
01-Jul-22,JLN,3,5,0,5,28,25,,0
01-Jul-22,JLN,3,5,0,6,26,20,,0
01-Jul-22,JLN,3,5,0,7,28,21,,0
01-Jul-22,JLN,3,5,0,8,26,24,,0
01-Jul-22,JLN,3,5,0,9,27,24,,0
01-Jul-22,JLN,3,5,0,10,28,24,,0
01-Jul-22,JLN,3,6,0,1,30,22,,0
01-Jul-22,JLN,3,6,0,2,29,25,,0
01-Jul-22,JLN,3,6,0,3,25,23,,0
01-Jul-22,JLN,3,6,0,4,29,25,,0
01-Jul-22,JLN,3,6,0,5,27,21,,0
01-Jul-22,JLN,3,6,0,6,28,26,,0
01-Jul-22,JLN,3,6,0,7,27,23,,0
01-Jul-22,JLN,3,6,0,8,25,21,,0
01-Jul-22,JLN,3,6,0,9,25,20,,0
01-Jul-22,JLN,3,6,0,10,26,21,,1
01-Jul-22,JLN,3,6,0,11,30,25,,0
01-Jul-22,JLN,3,6,0,12,25,19,,1
01-Jul-22,JLN,3,6,0,13,27,24,,0
01-Jul-22,JLN,3,6,0,14,28,25,,0
01-Jul-22,JLN,3,6,0,15,25,22,,0
01-Jul-22,JLN,3,6,0,16,25,15,,1
03-Jul-22,VC,4,1,1,1,31,25,,0
04-Jul-22,VC,4,2,1,1,35,28,,0
04-Jul-22,VC,4,2,1,2,26,21,,0
04-Jul-22,VC,4,3,1,1,31,25,,0
04-Jul-22,VC,4,3,1,2,35,33,,0
04-Jul-22,VC,4,3,1,3,28,22,,0
04-Jul-22,VC,4,3,1,4,32,26,,0
03-Jul-22,VC,4,4,1,1,31,25,,1
03-Jul-22,VC,4,4,1,2,30,24,,0
03-Jul-22,VC,4,4,1,3,31,25,,0
03-Jul-22,VC,4,4,1,4,25,21,,0
03-Jul-22,VC,4,4,1,5,25,21,,0
03-Jul-22,VC,4,4,1,6,27,22,,0
03-Jul-22,VC,4,5,1,1,30,25,,0
03-Jul-22,VC,4,5,1,2,28,23,,0
03-Jul-22,VC,4,5,1,3,30,26,,0
03-Jul-22,VC,4,5,1,4,25,22,,0
03-Jul-22,VC,4,5,1,5,32,27,,0
03-Jul-22,VC,4,5,1,6,25,20,,1
03-Jul-22,VC,4,5,1,7,31,20,,1
03-Jul-22,VC,4,5,1,8,32,27,,0
03-Jul-22,VC,4,5,1,9,30,24,,1
03-Jul-22,VC,4,5,1,10,27,22,,0
04-Jul-22,VC,4,6,1,1,34,27,,0
04-Jul-22,VC,4,6,1,2,31,24,,0
04-Jul-22,VC,4,6,1,3,34,27,,0
04-Jul-22,VC,4,6,1,4,30,24,,0
04-Jul-22,VC,4,6,1,5,34,27,,0
04-Jul-22,VC,4,6,1,6,31,27,,0
04-Jul-22,VC,4,6,1,7,35,31,,1
04-Jul-22,VC,4,6,1,8,34,27,,0
04-Jul-22,VC,4,6,1,9,29,23,,1
04-Jul-22,VC,4,6,1,10,32,25,,0
04-Jul-22,VC,4,6,1,11,28,25,,0
04-Jul-22,VC,4,6,1,12,35,23,,1
04-Jul-22,VC,4,6,1,13,35,28,,0
04-Jul-22,VC,4,6,1,14,32,26,,0
04-Jul-22,VC,4,6,1,15,28,22,,0
04-Jul-22,VC,4,6,1,16,25,22,,0
03-Jul-22,VC,4,1,0,1,25,21,,1
04-Jul-22,VC,4,2,0,1,34,26,,1
04-Jul-22,VC,4,2,0,2,39,31,,1
04-Jul-22,VC,4,3,0,1,33,27,,1
04-Jul-22,VC,4,3,0,2,28,22,,1
04-Jul-22,VC,4,3,0,3,39,30,,1
04-Jul-22,VC,4,3,0,4,29,23,,1
04-Jul-22,VC,4,4,0,1,33,28,,1
04-Jul-22,VC,4,4,0,2,40,34,,0
04-Jul-22,VC,4,4,0,3,32,25,,0
04-Jul-22,VC,4,4,0,4,34,26,,1
04-Jul-22,VC,4,4,0,5,38,30,,1
04-Jul-22,VC,4,4,0,6,29,23,,1
04-Jul-22,VC,4,5,0,1,40,32,,1
04-Jul-22,VC,4,5,0,2,34,28,,1
04-Jul-22,VC,4,5,0,3,26,21,,0
